Salida,Entrada,Stock
19,0,40
22,60,78
0,0,78
18,0,60
30,70,100
0,0,100
0,0,100
15,0,85
36,0,49
6,70,113
22,0,91
40,60,111
10,0,101
0,0,101
16,0,85
0,0,85
20,60,125
0,0,125
0,50,175
32,0,143
22,0,121
66,0,55
0,0,55
0,0,55
0,0,55
0,0,55
90,110,75
10,0,65
42,0,23
15,0,8
26,50,32
20,0,12
0,65,77
0,0,77
0,0,77
70,0,7
20,50,37
25,0,12
5,0,7
0,80,87
25,0,62
0,0,62
25,0,37
0,0,37
45,100,92
0,0,92
65,140,167
20,0,147
0,0,147
30,0,117
0,0,117
45,70,142
0,0,142
0,0,142
0,0,142
0,0,142
6,0,136
145,110,101
40,125,186
30,0,156
20,110,246
85,0,161
0,0,161
30,0,131
41,0,90
65,115,140
34,0,106
30,120,196
25,0,171
0,0,171
65,0,106
8,0,98
46,45,97
63,0,34
75,70,29
16,0,13
0,0,13
13,0,13
0,0,13
37,352,315
257,0,58
0,0,58
0,0,58
0,0,58
0,0,58
139,159,78
10,53,121
20,0,101
41,100,160
10,0,150
0,0,150
55,0,95
0,0,95
40,200,255
40,0,215
18,0,197
40,0,157
0,0,157
58,0,99
19,0,80
31,60,109
24,0,85
77,100,108
0,0,108
0,0,108
51,0,57
30,0,27
0,50,77
13,0,64
24,100,140
27,0,113
0,0,113
61,0,52
0,0,52
0,0,52
2,0,50
66,200,184
20,0,164
0,0,164
43,0,121
29,0,92
43,85,134
30,0,104
22,80,162
30,0,132
0,0,132
72,0,60
0,0,60
0,80,140
20,120,240
30,0,210
50,0,160
0,0,160
45,0,115
20,0,95
10,0,85
45,0,40
10,80,110
10,0,100
0,0,100
75,0,25
20,260,265
0,0,265
0,0,265
36,0,229
0,0,229
97,90,222
78,0,144
16,0,128
28,80,180
58,0,122
38,100,184
26,0,158
0,0,158
19,0,139
25,0,114
20,130,224
40,0,184
21,0,163
27,0,136
25,0,111
10,0,101
20,70,151
32,0,119
30,0,89
35,50,104
30,0,74
20,0,54
13,0,41
3,0,38
36,120,122
121,0,1
0,0,1
0,0,1
0,0,1
0,0,1
26,70,45
125,271,191
40,0,151
59,96,188
100,0,88
0,0,88
35,0,53
0,0,53
30,70,93
65,0,28
43,60,45
55,200,190
0,0,190
58,0,132
0,120,252
58,120,314
57,0,257
71,36,222
15,0,207
0,0,207
114,0,93
31,139,201
0,110,311
62,0,249
47,72,274
50,0,224
0,0,224
35,27,216
0,0,216
0,0,216
0,0,216
164,456,508
103,0,405
0,0,405
124,0,281
24,144,401
70,150,481
24,0,457
80,91,468
15,0,453
0,0,453
110,0,343
70,70,343
45,150,448
58,0,390
102,54,342
121,0,221
0,0,221
98,0,123
27,105,201
51,0,150
72,155,233
84,0,149
22,0,127
0,0,127
30,0,97
0,115,212
56,0,156
156,0,156
0,0,156
0,0,156
0,0,156
136,144,8
0,0,8
0,0,8
36,0,-28
32,235,175
88,0,87
0,0,87
78,0,9
10,165,164
138,120,146
32,0,114
80,140,174
95,0,79
0,0,79
30,0,49
23,294,320
45,0,275
15,130,390
34,130,486
92,0,394
0,0,394
69,0,325
19,170,476
22,100,554
75,0,479
113,111,477
39,0,438
0,0,438
0,0,438
0,0,438
0,0,438
178,212,472
76,0,396
61,0,335
0,0,335
24,0,311
45,0,266
72,0,194
109,120,205
94,95,206
41,0,165
0,0,165
91,125,199
58,0,141
0,200,341
72,240,509
80,0,429
87,0,342
75,0,267
80,0,187
60,0,127
20,150,257
64,0,193
84,200,309
112,0,197
0,0,197
83,0,114
78,155,191
39,0,152
37,0,115
94,0,21
135,360,246
0,0,246
135,0,111
10,0,101
75,200,226
40,0,186
50,150,286
100,0,186
24,0,162
75,0,87
50,0,37
65,0,-28
57,0,-85
54,350,211
91,0,120
0,0,120
85,0,35
38,0,-3
32,210,175
56,0,119
25,150,244
82,0,162
0,0,162
55,0,107
0,0,107
64,200,243
40,0,203
91,200,312
80,0,232
0,0,232
0,0,232
66,0,166
76,200,290
40,0,250
84,150,316
66,0,250
0,0,250
47,0,203
25,0,178
75,120,223
60,0,163
25,150,288
40,0,248
0,0,248
20,0,228
36,0,192
44,0,148
51,120,217
46,0,171
105,0,66
0,0,66
0,0,66
5,0,61
53,250,258
45,0,213
4,100,309
35,0,274
0,0,274
66,0,208
155,0,53
0,0,53
55,250,248
32,0,216
24,0,192
0,0,192
50,0,142
40,0,102
64,160,198
60,0,138
0,200,338
75,0,263
0,0,263
89,0,174
55,0,119
27,250,342
30,0,312
95,0,217
35,0,182
0,0,182
95,0,87
15,0,72
26,180,226
0,0,226
30,100,296
54,0,242
0,0,242
30,0,212
30,0,182
50,0,132
56,110,186
0,0,186
0,0,186
121,0,65
20,80,125
10,0,115
40,0,75
0,110,185
87,100,198
60,0,138
0,0,138
69,0,69
21,0,48
50,0,-2
0,0,-2
30,210,178
65,0,113
27,0,86
0,0,86
37,0,49
90,110,69
8,0,61
56,120,125
40,0,85
10,0,75
57,0,18
5,0,13
5,0,8
12,150,146
75,140,211
85,0,126
0,0,126
126,0,126
0,0,126
30,150,120
95,0,25
60,150,115
70,0,45
0,0,45
55,0,-10
20,0,-30
80,200,90
40,0,50
0,370,420
40,0,380
0,0,380
65,0,315
60,0,255
20,210,445
20,0,425
73,180,532
57,0,475
0,0,475
40,0,435
38,0,397
65,0,332
35,0,297
40,0,257
82,0,175
48,0,127
126,0,1
1,0,1
73,80,7
10,0,-3
7,100,90
65,0,25
0,0,25
17,0,8
24,0,-16
10,0,-26
18,0,-44
61,220,115
0,0,115
0,0,115
45,0,70
32,0,38
41,0,-3
73,100,24
27,150,147
50,0,97
0,0,97
39,0,58
0,100,158
15,0,143
40,0,103
81,100,122
70,0,52
0,0,52
76,0,-24
0,200,176
65,0,111
38,27,100
0,0,100
80,200,220
0,0,220
98,0,122
72,150,200
0,0,200
48,250,402
47,0,355
